"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,928,097","±3,466","1,334,859","±27,543","13.4%","±0.3"
"    AGE","","","","","",""
"        Under 18 years","2,070,825","±4,359","373,069","±14,832","18.0%","±0.7"
"            Under 5 years","515,093","±2,776","101,813","±6,833","19.8%","±1.3"
"            5 to 17 years","1,555,732","±4,180","271,256","±11,788","17.4%","±0.8"
"            Related children of householder under 18 years","2,059,886","±5,104","363,269","±14,790","17.6%","±0.7"
"        18 to 64 years","5,908,259","±3,337","750,599","±17,894","12.7%","±0.3"
"            18 to 34 years","2,176,850","±4,512","353,470","±12,907","16.2%","±0.6"
"            35 to 64 years","3,731,409","±5,192","397,129","±10,150","10.6%","±0.3"
"        60 years and over","2,636,065","±10,754","291,175","±8,827","11.0%","±0.3"
"        65 years and over","1,949,013","±2,843","211,191","±7,395","10.8%","±0.4"
"    SEX","","","","","",""
"        Male","4,893,673","±5,403","599,915","±15,353","12.3%","±0.3"
"        Female","5,034,424","±5,074","734,944","±16,521","14.6%","±0.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","7,269,873","±12,188","772,396","±21,461","10.6%","±0.3"
"        Black or African American alone","1,273,254","±12,354","335,468","±16,073","26.3%","±1.2"
"        American Indian and Alaska Native alone","51,936","±5,783","12,874","±3,744","24.8%","±5.5"
"        Asian alone","371,871","±8,233","42,949","±7,477","11.5%","±2.0"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","194,251","±11,083","38,814","±6,410","20.0%","±3.1"
"        Two or more races","762,364","±18,128","131,237","±10,120","17.2%","±1.3"
"        Hispanic or Latino origin (of any race)","608,256","±2,005","116,197","±10,723","19.1%","±1.8"
"        White alone, not Hispanic or Latino","7,132,710","±9,955","749,213","±20,452","10.5%","±0.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","7,005,260","±4,539","783,265","±15,081","11.2%","±0.2"
"            Less than high school graduate","536,320","±12,576","142,738","±7,616","26.6%","±1.3"
"            High school graduate (includes equivalency)","1,910,444","±22,332","297,734","±9,612","15.6%","±0.5"
"            Some college, associate's degree","2,201,302","±22,205","232,918","±9,234","10.6%","±0.4"
"            Bachelor's degree or higher","2,357,194","±22,808","109,875","±6,475","4.7%","±0.3"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","5,069,356","±19,104","376,563","±13,157","7.4%","±0.3"
"            Employed","4,842,223","±21,059","306,165","±11,066","6.3%","±0.2"
"                Male","2,530,841","±15,208","131,315","±6,446","5.2%","±0.3"
"                Female","2,311,382","±13,913","174,850","±8,280","7.6%","±0.4"
