"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,847,403","±3,560","1,286,329","±29,158","13.1%","±0.3"
"    AGE","","","","","",""
"        Under 18 years","2,117,472","±4,486","376,831","±15,947","17.8%","±0.8"
"            Under 5 years","537,990","±2,501","106,139","±6,691","19.7%","±1.3"
"            5 to 17 years","1,579,482","±4,495","270,692","±12,458","17.1%","±0.8"
"            Related children of householder under 18 years","2,108,379","±4,865","368,435","±16,245","17.5%","±0.8"
"        18 to 64 years","5,942,636","±3,309","743,893","±17,757","12.5%","±0.3"
"            18 to 34 years","2,146,256","±4,316","333,570","±10,287","15.5%","±0.5"
"            35 to 64 years","3,796,380","±4,823","410,323","±11,666","10.8%","±0.3"
"        60 years and over","2,504,950","±10,043","250,705","±8,065","10.0%","±0.3"
"        65 years and over","1,787,295","±2,855","165,605","±5,489","9.3%","±0.3"
"    SEX","","","","","",""
"        Male","4,859,295","±6,676","582,730","±16,281","12.0%","±0.3"
"        Female","4,988,108","±6,012","703,599","±16,996","14.1%","±0.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","7,304,986","±12,472","754,078","±23,155","10.3%","±0.3"
"        Black or African American alone","1,299,400","±10,339","340,973","±15,952","26.2%","±1.2"
"        American Indian and Alaska Native alone","49,322","±5,176","10,073","±2,670","20.4%","±4.5"
"        Asian alone","316,275","±6,249","34,465","±4,700","10.9%","±1.5"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","189,756","±10,164","36,922","±5,701","19.5%","±3.0"
"        Two or more races","685,246","±17,107","109,535","±9,516","16.0%","±1.3"
"        Hispanic or Latino origin (of any race)","547,977","±1,564","101,635","±8,221","18.5%","±1.5"
"        White alone, not Hispanic or Latino","7,193,007","±10,873","730,389","±23,341","10.2%","±0.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","6,880,030","±4,963","741,810","±16,820","10.8%","±0.2"
"            Less than high school graduate","543,058","±11,262","142,556","±7,517","26.3%","±1.2"
"            High school graduate (includes equivalency)","1,958,826","±15,895","295,211","±10,142","15.1%","±0.5"
"            Some college, associate's degree","2,180,320","±19,724","212,948","±6,729","9.8%","±0.3"
"            Bachelor's degree or higher","2,197,826","±18,244","91,095","±5,707","4.1%","±0.3"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","4,924,418","±18,776","357,312","±12,486","7.3%","±0.3"
"            Employed","4,585,957","±20,689","262,668","±10,829","5.7%","±0.2"
"                Male","2,424,137","±12,560","114,276","±6,683","4.7%","±0.3"
"                Female","2,161,820","±16,782","148,392","±8,232","6.9%","±0.4"
"            Unemployed","338,461","±9,047","94,644","±5,362","28.0%","±1.5"
"                Male","178,320","±6,564","46,813","±3,648","26.3%","±1.9"
"                Female","160,141","±6,519","47,831","±3,538","29.9%","±2.0"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","7,984,424","±5,198","948,394","±19,514","11.9%","±0.2"
"            Worked full-time, year-round in the past 12 months","3,056,893","±19,355","69,665","±5,057","2.3%","±0.2"
"            Worked part-time or part-year in the past 12 months","2,026,279","±20,043","287,871","±11,135","14.2%","±0.5"
"            Did not work","2,901,252","±20,776","590,858","±15,321","20.4%","±0.5"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","607,530","±20,676","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,669,077","±28,399","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,067,862","±32,216","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","2,622,838","±33,403","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","2,889,344","±34,232","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,519,265","±44,201","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","5,943,802","±41,612","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,080,664","±38,039","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,077,648","±22,616","508,919","±11,895","24.5%","±0.5"
"    Male","1,018,852","±14,659","232,155","±8,306","22.8%","±0.7"
"    Female","1,058,796","±14,297","276,764","±8,485","26.1%","±0.7"
"    15 years","2,568","±798","2,568","±798","100.0%","±5.1"
"    16 to 17 years","5,902","±1,158","5,420","±1,189","91.8%","±5.7"
"    18 to 24 years","247,983","±8,791","107,020","±6,828","43.2%","±2.2"
"    25 to 34 years","404,321","±10,491","72,059","±5,048","17.8%","±1.0"
"    35 to 44 years","226,203","±8,472","49,634","±4,067","21.9%","±1.5"
"    45 to 54 years","242,476","±7,006","57,400","±4,084","23.7%","±1.6"
