"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,663,760","±3,870","1,685,178","±30,444","17.4%","±0.3"
"AGE","","","","","",""
"    Under 18 years","2,228,071","±4,585","554,153","±15,082","24.9%","±0.7"
"        Related children under 18 years","2,215,702","±4,863","542,499","±14,804","24.5%","±0.7"
"    18 to 64 years","6,031,559","±2,982","1,014,349","±18,494","16.8%","±0.3"
"    65 years and over","1,404,130","±2,134","116,676","±4,076","8.3%","±0.3"
"SEX","","","","","",""
"    Male","4,722,882","±5,075","769,480","±16,570","16.3%","±0.4"
"    Female","4,940,878","±5,440","915,698","±17,778","18.5%","±0.4"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","N","N","N","N","N","N"
"        White","7,696,198","±8,848","1,052,630","±22,974","13.7%","±0.3"
"        Black or African American","1,334,830","±7,519","485,408","±15,504","36.4%","±1.1"
"        American Indian and Alaska Native","54,671","±2,981","10,912","±1,485","20.0%","±2.5"
"        Asian","239,255","±4,210","36,952","±4,491","15.4%","±1.8"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"        Some other race","91,357","±7,544","29,875","±4,821","32.7%","±4.4"
"    Two or more races","245,830","±9,791","68,759","±5,199","28.0%","±1.8"
"Hispanic or Latino origin (of any race)","444,908","±1,436","130,778","±7,976","29.4%","±1.8"
"White alone, not Hispanic or Latino","7,384,859","±4,550","966,443","±21,393","13.1%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,526,452","±4,323","853,963","±16,397","13.1%","±0.3"
"    Less than high school graduate","691,094","±11,285","209,295","±6,759","30.3%","±0.8"
"    High school graduate (includes equivalency)","1,981,506","±15,272","312,202","±10,662","15.8%","±0.5"
"    Some college, associate's degree","2,137,127","±16,702","255,550","±7,839","12.0%","±0.3"
"    Bachelor's degree or higher","1,716,725","±17,277","76,916","±4,088","4.5%","±0.2"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","4,796,424","±17,178","556,346","±13,857","11.6%","±0.3"
"    Employed","4,258,347","±17,762","354,355","±10,196","8.3%","±0.2"
"        Male","2,190,204","±11,596","150,682","±6,495","6.9%","±0.3"
"        Female","2,068,143","±13,590","203,673","±6,966","9.8%","±0.3"
"    Unemployed","538,077","±10,691","201,991","±7,910","37.5%","±1.2"
"        Male","302,178","±7,915","103,925","±4,709","34.4%","±1.3"
"        Female","235,899","±6,835","98,066","±5,583","41.6%","±1.8"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","7,713,688","±4,892","1,188,465","±21,546","15.4%","±0.3"
"    Worked full-time, year-round in the past 12 months","2,783,396","±19,125","84,333","±4,560","3.0%","±0.2"
"    Worked part-time or part-year in the past 12 months","2,031,643","±19,339","410,946","±10,058","20.2%","±0.5"
"    Did not work","2,898,649","±16,436","693,186","±14,268","23.9%","±0.5"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","768,553","±20,326","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","2,125,842","±33,526","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","2,588,971","±31,954","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","3,217,038","±31,053","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","3,488,070","±30,774","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","1,870,594","±21,220","556,783","±12,284","29.8%","±0.6"
"Male","913,247","±14,329","267,513","±9,556","29.3%","±0.8"
"Female","957,347","±12,635","289,270","±7,425","30.2%","±0.7"
"Mean income deficit for unrelated individuals (dollars)","6,669","±87","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","637,035","±14,136","25,062","±2,708","3.9%","±0.4"
"Worked less than full-time, year-round in the past 12 months","461,748","±11,543","209,598","±7,716","45.4%","±1.3"
"Did not work","771,811","±11,684","322,123","±8,731","41.7%","±0.8"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","25.4%","(X)","(X)","(X)","(X)","(X)"
