"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,827,315","±3,935","1,326,740","±27,989","13.5%","±0.3"
"    AGE","","","","","",""
"        Under 18 years","2,078,817","±4,211","365,364","±15,073","17.6%","±0.7"
"            Under 5 years","520,534","±3,632","93,760","±6,731","18.0%","±1.3"
"            5 to 17 years","1,558,283","±4,037","271,604","±11,753","17.4%","±0.8"
"            Related children of householder under 18 years","2,068,690","±4,548","355,606","±15,105","17.2%","±0.7"
"        18 to 64 years","5,857,839","±2,902","761,508","±17,804","13.0%","±0.3"
"            18 to 34 years","2,132,701","±4,000","334,699","±11,664","15.7%","±0.5"
"            35 to 64 years","3,725,138","±4,681","426,809","±12,323","11.5%","±0.3"
"        60 years and over","2,582,323","±7,931","287,780","±8,332","11.1%","±0.3"
"        65 years and over","1,890,659","±2,600","199,868","±6,166","10.6%","±0.3"
"    SEX","","","","","",""
"        Male","4,847,623","±6,470","598,308","±16,611","12.3%","±0.3"
"        Female","4,979,692","±6,197","728,432","±18,241","14.6%","±0.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","7,274,183","±12,281","799,633","±19,038","11.0%","±0.3"
"        Black or African American alone","1,275,723","±13,317","327,781","±18,948","25.7%","±1.4"
"        American Indian and Alaska Native alone","48,803","±5,183","8,898","±2,652","18.2%","±4.7"
"        Asian alone","331,653","±6,249","37,169","±5,417","11.2%","±1.6"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","189,045","±10,549","34,865","±5,619","18.4%","±2.7"
"        Two or more races","705,518","±17,380","118,233","±9,452","16.8%","±1.2"
"        Hispanic or Latino origin (of any race)","585,925","±2,645","106,402","±8,883","18.2%","±1.5"
"        White alone, not Hispanic or Latino","7,133,245","±9,962","774,839","±18,122","10.9%","±0.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","6,912,169","±5,300","787,535","±16,101","11.4%","±0.2"
"            Less than high school graduate","541,797","±13,122","155,443","±6,500","28.7%","±1.1"
"            High school graduate (includes equivalency)","1,895,712","±20,166","299,373","±10,375","15.8%","±0.5"
"            Some college, associate's degree","2,194,215","±23,488","233,934","±8,495","10.7%","±0.4"
"            Bachelor's degree or higher","2,280,445","±22,120","98,785","±5,959","4.3%","±0.3"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","5,005,627","±18,435","371,134","±11,403","7.4%","±0.2"
"            Employed","4,785,485","±18,823","298,106","±10,405","6.2%","±0.2"
"                Male","2,495,083","±12,607","127,651","±6,965","5.1%","±0.3"
"                Female","2,290,402","±12,522","170,455","±7,899","7.4%","±0.3"
"            Unemployed","220,142","±8,722","73,028","±5,306","33.2%","±2.1"
"                Male","119,982","±6,744","35,847","±3,453","29.9%","±2.5"
"                Female","100,160","±5,714","37,181","±3,835","37.1%","±3.3"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","8,007,141","±5,913","999,815","±19,650","12.5%","±0.2"
"            Worked full-time, year-round in the past 12 months","3,396,541","±22,094","82,535","±5,295","2.4%","±0.2"
"            Worked part-time or part-year in the past 12 months","1,825,513","±20,832","307,688","±10,217","16.9%","±0.5"
"            Did not work","2,785,087","±18,686","609,592","±14,950","21.9%","±0.5"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","643,296","±18,020","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,660,828","±32,249","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,058,324","±36,612","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","2,612,207","±40,396","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","2,888,325","±38,693","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,565,220","±45,826","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,021,908","±41,591","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,143,934","±43,059","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,097,750","±26,966","543,614","±13,608","25.9%","±0.5"
"    Male","1,028,314","±16,798","247,070","±8,122","24.0%","±0.6"
"    Female","1,069,436","±15,477","296,544","±10,339","27.7%","±0.8"
"    15 years","3,135","±1,162","3,097","±1,156","98.8%","±2.1"
"    16 to 17 years","6,631","±1,512","6,537","±1,497","98.6%","±1.6"
"    18 to 24 years","242,612","±8,564","106,293","±6,466","43.8%","±2.1"
"    25 to 34 years","422,131","±12,263","74,567","±4,940","17.7%","±1.1"
"    35 to 44 years","231,799","±7,948","55,632","±4,734","24.0%","±1.9"
"    45 to 54 years","226,509","±8,473","63,438","±4,461","28.0%","±1.6"
