"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,656,260","±2,885","1,693,294","±28,336","17.5%","±0.3"
"AGE","","","","","",""
"    Under 18 years","2,255,605","±3,445","560,109","±16,255","24.8%","±0.7"
"        Related children under 18 years","2,243,049","±3,779","548,145","±16,027","24.4%","±0.7"
"    18 to 64 years","6,050,633","±2,820","1,022,144","±15,071","16.9%","±0.3"
"    65 years and over","1,350,022","±2,099","111,041","±4,458","8.2%","±0.3"
"SEX","","","","","",""
"    Male","4,719,363","±4,418","780,447","±15,668","16.5%","±0.3"
"    Female","4,936,897","±4,229","912,847","±17,413","18.5%","±0.4"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","N","N","N","N","N","N"
"        White","7,681,488","±9,910","1,059,434","±21,893","13.8%","±0.3"
"        Black or African American","1,338,801","±7,462","486,511","±15,362","36.3%","±1.1"
"        American Indian and Alaska Native","52,630","±3,605","12,122","±1,703","23.0%","±3.1"
"        Asian","234,256","±5,148","33,062","±3,695","14.1%","±1.5"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"        Some other race","102,216","±7,582","31,041","±5,765","30.4%","±4.7"
"    Two or more races","244,974","±10,013","70,991","±5,823","29.0%","±2.1"
"Hispanic or Latino origin (of any race)","436,670","±1,799","129,375","±8,358","29.6%","±1.9"
"White alone, not Hispanic or Latino","7,393,166","±3,820","974,672","±18,661","13.2%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,490,135","±4,459","843,633","±13,910","13.0%","±0.2"
"    Less than high school graduate","712,019","±13,708","207,614","±7,792","29.2%","±0.9"
"    High school graduate (includes equivalency)","1,983,176","±17,280","301,753","±8,261","15.2%","±0.4"
"    Some college, associate's degree","2,113,953","±18,469","258,101","±7,949","12.2%","±0.4"
"    Bachelor's degree or higher","1,680,987","±14,420","76,165","±4,405","4.5%","±0.3"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","4,792,836","±16,876","585,449","±12,679","12.2%","±0.3"
"    Employed","4,169,049","±19,199","360,638","±9,295","8.7%","±0.2"
"        Male","2,132,580","±13,119","157,972","±6,221","7.4%","±0.3"
"        Female","2,036,469","±14,180","202,666","±6,675","10.0%","±0.3"
"    Unemployed","623,787","±10,551","224,811","±8,209","36.0%","±1.0"
"        Male","351,497","±8,728","119,310","±5,536","33.9%","±1.3"
"        Female","272,290","±6,461","105,501","±5,755","38.7%","±1.8"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","7,678,880","±5,049","1,192,791","±17,636","15.5%","±0.2"
"    Worked full-time, year-round in the past 12 months","2,677,310","±17,948","85,031","±4,789","3.2%","±0.2"
"    Worked part-time or part-year in the past 12 months","2,063,858","±17,552","414,530","±9,679","20.1%","±0.4"
"    Did not work","2,937,712","±17,820","693,230","±14,011","23.6%","±0.4"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","778,040","±20,134","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","2,153,681","±30,437","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","2,608,572","±31,836","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","3,229,017","±33,315","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","3,488,897","±31,903","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","1,819,181","±19,941","548,229","±11,397","30.1%","±0.5"
"Male","874,906","±12,892","262,503","±8,046","30.0%","±0.8"
"Female","944,275","±12,974","285,726","±7,459","30.3%","±0.6"
"Mean income deficit for unrelated individuals (dollars)","6,485","±72","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","595,895","±11,732","25,936","±2,980","4.4%","±0.5"
"Worked less than full-time, year-round in the past 12 months","467,993","±10,491","212,942","±8,479","45.5%","±1.2"
"Did not work","755,293","±12,387","309,351","±8,217","41.0%","±0.8"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","26.6%","(X)","(X)","(X)","(X)","(X)"
