"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,669,513","±4,111","1,648,436","±25,647","17.0%","±0.3"
"AGE","","","","","",""
"    Under 18 years","2,198,976","±4,770","523,798","±13,446","23.8%","±0.6"
"        Related children under 18 years","2,187,246","±5,184","512,714","±13,432","23.4%","±0.6"
"    18 to 64 years","6,022,850","±3,102","1,004,638","±16,792","16.7%","±0.3"
"    65 years and over","1,447,687","±2,363","120,000","±4,532","8.3%","±0.3"
"SEX","","","","","",""
"    Male","4,729,350","±5,413","747,455","±14,414","15.8%","±0.3"
"    Female","4,940,163","±5,563","900,981","±16,089","18.2%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","N","N","N","N","N","N"
"        White","7,673,466","±8,939","1,034,814","±23,910","13.5%","±0.3"
"        Black or African American","1,326,423","±8,643","458,965","±12,844","34.6%","±1.0"
"        American Indian and Alaska Native","52,037","±3,703","14,708","±2,423","28.3%","±3.9"
"        Asian","260,422","±4,604","34,306","±4,233","13.2%","±1.6"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"        Some other race","98,519","±7,508","30,688","±4,692","31.1%","±3.9"
"    Two or more races","256,560","±10,264","74,729","±5,892","29.1%","±2.0"
"Hispanic or Latino origin (of any race)","454,492","±1,804","121,482","±9,562","26.7%","±2.1"
"White alone, not Hispanic or Latino","7,365,591","±4,116","960,154","±21,604","13.0%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,550,328","±4,571","850,286","±12,587","13.0%","±0.2"
"        Less than high school graduate","680,622","±13,380","206,204","±7,993","30.3%","±1.0"
"        High school graduate (includes equivalency)","1,929,030","±17,148","297,695","±6,699","15.4%","±0.3"
"        Some college, associate's degree","2,161,181","±16,469","260,387","±7,675","12.0%","±0.3"
"        Bachelor's degree or higher","1,779,495","±18,108","86,000","±5,035","4.8%","±0.3"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","4,809,874","±20,049","551,042","±11,795","11.5%","±0.2"
"        Employed","4,339,535","±19,953","372,615","±9,450","8.6%","±0.2"
"            Male","2,239,348","±13,634","159,787","±5,975","7.1%","±0.3"
"            Female","2,100,187","±13,863","212,828","±7,628","10.1%","±0.4"
"        Unemployed","470,339","±10,922","178,427","±8,196","37.9%","±1.3"
"            Male","256,106","±8,425","89,362","±5,653","34.9%","±1.6"
"            Female","214,233","±6,973","89,065","±5,136","41.6%","±1.8"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","7,739,230","±4,557","1,178,303","±17,524","15.2%","±0.2"
"        Worked full-time, year-round in the past 12 months","2,858,067","±18,542","91,223","±4,427","3.2%","±0.2"
"        Worked part-time or part-year in the past 12 months","2,011,769","±18,111","414,585","±10,112","20.6%","±0.5"
"        Did not work","2,869,394","±18,950","672,495","±14,157","23.4%","±0.4"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","768,871","±22,156","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","2,072,328","±28,491","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","2,518,135","±32,523","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","3,170,346","±34,317","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","3,446,237","±35,164","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","1,924,704","±22,556","579,439","±12,583","30.1%","±0.5"
"    Male","950,694","±14,058","276,917","±8,925","29.1%","±0.8"
"    Female","974,010","±14,221","302,522","±9,566","31.1%","±0.8"
"Mean income deficit for unrelated individuals (dollars)","6,572","±91","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","678,369","±12,960","31,318","±2,781","4.6%","±0.4"
"Worked less than full-time, year-round in the past 12 months","484,103","±11,068","224,114","±7,700","46.3%","±1.1"
"Did not work","762,232","±14,095","324,007","±11,572","42.5%","±1.0"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","27.9%","(X)","(X)","(X)","(X)","(X)"
