"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,698,396","±3,148","1,529,645","±27,659","15.8%","±0.3"
"AGE","","","","","",""
"    Under 18 years","2,165,334","±3,939","485,920","±14,161","22.4%","±0.7"
"        Under 5 years","558,683","±2,369","139,753","±5,995","25.0%","±1.1"
"        5 to 17 years","1,606,651","±3,659","346,167","±11,767","21.5%","±0.7"
"        Related children of householder under 18 years","2,152,822","±4,415","473,805","±13,949","22.0%","±0.6"
"    18 to 64 years","5,999,828","±3,054","923,969","±17,938","15.4%","±0.3"
"        18 to 34 years","2,100,837","±4,126","443,430","±9,777","21.1%","±0.5"
"        35 to 64 years","3,898,991","±4,179","480,539","±12,716","12.3%","±0.3"
"    60 years and over","2,183,028","±7,296","189,259","±5,479","8.7%","±0.2"
"    65 years and over","1,533,234","±2,177","119,756","±4,207","7.8%","±0.3"
"SEX","","","","","",""
"    Male","4,747,040","±5,200","685,013","±15,474","14.4%","±0.3"
"    Female","4,951,356","±5,139","844,632","±15,844","17.1%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    White alone","7,653,116","±8,718","938,772","±21,917","12.3%","±0.3"
"    Black or African American alone","1,323,891","±9,801","436,114","±14,864","32.9%","±1.1"
"    American Indian and Alaska Native alone","51,673","±3,649","13,006","±2,299","25.2%","±3.9"
"    Asian alone","285,809","±3,980","42,606","±5,182","14.9%","±1.8"
"    Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"    Some other race alone","117,311","±7,771","28,884","±4,861","24.6%","±3.6"
"    Two or more races","262,973","±10,611","69,329","±6,232","26.4%","±2.1"
"Hispanic or Latino origin (of any race)","473,378","±1,640","112,669","±7,326","23.8%","±1.5"
"White alone, not Hispanic or Latino","7,345,422","±4,781","870,850","±20,774","11.9%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,631,922","±3,692","803,054","±14,707","12.1%","±0.2"
"        Less than high school graduate","642,369","±14,006","184,647","±8,004","28.7%","±1.0"
"        High school graduate (includes equivalency)","1,935,875","±17,271","286,913","±7,080","14.8%","±0.4"
"        Some college, associate's degree","2,192,620","±16,565","246,598","±7,671","11.2%","±0.3"
"        Bachelor's degree or higher","1,861,058","±17,546","84,896","±4,625","4.6%","±0.2"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","4,825,043","±15,547","487,462","±12,544","10.1%","±0.3"
"        Employed","4,480,656","±16,371","355,674","±10,854","7.9%","±0.2"
"            Male","2,343,556","±12,857","146,564","±6,426","6.3%","±0.3"
"            Female","2,137,100","±12,597","209,110","±7,354","9.8%","±0.3"
"        Unemployed","344,387","±8,538","131,788","±6,316","38.3%","±1.5"
"            Male","186,556","±6,200","67,367","±4,419","36.1%","±2.0"
"            Female","157,831","±6,126","64,421","±3,961","40.8%","±1.8"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","7,797,850","±5,053","1,093,843","±18,941","14.0%","±0.2"
"        Worked full-time, year-round in the past 12 months","2,996,394","±16,250","91,569","±4,415","3.1%","±0.1"
"        Worked part-time or part-year in the past 12 months","1,969,853","±14,686","376,914","±11,644","19.1%","±0.5"
"        Did not work","2,831,603","±15,752","625,360","±12,920","22.1%","±0.4"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"    50 percent of poverty level","673,796","±20,833","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","1,961,687","±30,913","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","2,394,986","±32,251","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","3,026,492","±34,036","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","3,279,049","±34,908","(X)","(X)","(X)","(X)"
"    300 percent of poverty level","4,931,892","±33,042","(X)","(X)","(X)","(X)"
"    400 percent of poverty level","6,327,850","±31,487","(X)","(X)","(X)","(X)"
"    500 percent of poverty level","7,385,219","±28,532","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","1,960,985","±19,509","554,658","±12,448","28.3%","±0.6"
"    Male","957,996","±13,598","252,363","±8,129","26.3%","±0.8"
"    Female","1,002,989","±12,527","302,295","±7,748","30.1%","±0.6"
"15 years","3,182","±918","3,135","±916","98.5%","±1.9"
"16 to 17 years","8,985","±1,421","8,855","±1,420","98.6%","±1.5"
"18 to 24 years","253,061","±7,179","144,026","±6,133","56.9%","±1.8"
"25 to 34 years","353,441","±8,416","80,295","±3,953","22.7%","±1.0"
"35 to 44 years","212,802","±6,023","52,329","±3,764","24.6%","±1.6"
"45 to 54 years","290,763","±7,215","86,576","±4,664","29.8%","±1.4"
"55 to 64 years","350,982","±7,882","99,036","±3,876","28.2%","±1.0"
"65 to 74 years","239,375","±5,448","42,787","±2,322","17.9%","±0.9"
"75 years and over","248,394","±5,239","37,619","±2,598","15.1%","±0.9"
"Mean income deficit for unrelated individuals (dollars)","6,672","±101","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","731,745","±14,281","31,440","±2,830","4.3%","±0.4"
"Worked less than full-time, year-round in the past 12 months","458,471","±9,020","203,284","±9,316","44.3%","±1.5"
"Did not work","770,769","±12,674","319,934","±8,699","41.5%","±0.8"
