"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,702,321","±3,906","1,451,936","±23,392","15.0%","±0.2"
"AGE","","","","","",""
"    Under 18 years","2,150,156","±4,455","445,803","±12,341","20.7%","±0.6"
"        Under 5 years","561,127","±2,769","134,911","±5,358","24.0%","±0.9"
"        5 to 17 years","1,589,029","±4,527","310,892","±10,248","19.6%","±0.6"
"        Related children of householder under 18 years","2,136,315","±5,320","432,405","±12,255","20.2%","±0.6"
"    18 to 64 years","5,981,249","±2,814","878,685","±15,677","14.7%","±0.3"
"        18 to 34 years","2,116,722","±4,160","424,264","±10,602","20.0%","±0.5"
"        35 to 64 years","3,864,527","±4,345","454,421","±11,539","11.8%","±0.3"
"    60 years and over","2,232,734","±7,907","200,000","±6,201","9.0%","±0.3"
"    65 years and over","1,570,916","±2,329","127,448","±5,275","8.1%","±0.3"
"SEX","","","","","",""
"    Male","4,752,714","±4,242","661,185","±13,115","13.9%","±0.3"
"    Female","4,949,607","±4,901","790,751","±14,865","16.0%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    White alone","7,643,658","±10,400","916,691","±20,134","12.0%","±0.3"
"    Black or African American alone","1,311,063","±9,325","377,577","±14,390","28.8%","±1.0"
"    American Indian and Alaska Native alone","48,841","±3,497","10,415","±1,682","21.3%","±3.1"
"    Asian alone","283,438","±4,973","46,604","±4,831","16.4%","±1.6"
"    Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"    Some other race alone","117,192","±8,944","32,366","±5,176","27.6%","±3.6"
"    Two or more races","295,335","±11,899","67,376","±6,777","22.8%","±1.9"
"Hispanic or Latino origin (of any race)","479,218","±1,825","111,195","±7,743","23.2%","±1.6"
"White alone, not Hispanic or Latino","7,333,736","±4,574","849,643","±18,586","11.6%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,662,186","±4,444","777,132","±13,108","11.7%","±0.2"
"        Less than high school graduate","624,466","±10,484","180,134","±7,307","28.8%","±1.0"
"        High school graduate (includes equivalency)","1,937,278","±17,659","285,741","±7,936","14.7%","±0.4"
"        Some college, associate's degree","2,200,870","±20,768","229,504","±7,298","10.4%","±0.3"
"        Bachelor's degree or higher","1,899,572","±18,509","81,753","±4,509","4.3%","±0.2"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","4,851,453","±17,887","446,091","±9,917","9.2%","±0.2"
"        Employed","4,552,291","±19,313","338,260","±10,138","7.4%","±0.2"
"            Male","2,368,160","±12,547","147,985","±7,010","6.2%","±0.3"
"            Female","2,184,131","±13,292","190,275","±6,403","8.7%","±0.3"
"        Unemployed","299,162","±7,702","107,831","±4,994","36.0%","±1.4"
"            Male","166,758","±5,382","55,119","±3,245","33.1%","±1.7"
"            Female","132,404","±5,451","52,712","±3,748","39.8%","±2.1"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","7,814,555","±5,653","1,051,289","±16,691","13.5%","±0.2"
"        Worked full-time, year-round in the past 12 months","3,075,890","±17,774","80,574","±4,591","2.6%","±0.1"
"        Worked part-time or part-year in the past 12 months","1,957,955","±17,958","369,264","±10,026","18.9%","±0.5"
"        Did not work","2,780,710","±20,259","601,451","±13,455","21.6%","±0.4"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"    50 percent of poverty level","646,971","±18,011","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","1,892,396","±27,053","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","2,300,720","±29,136","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","2,916,277","±32,234","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","3,157,106","±29,489","(X)","(X)","(X)","(X)"
"    300 percent of poverty level","4,773,871","±33,013","(X)","(X)","(X)","(X)"
"    400 percent of poverty level","6,163,784","±32,269","(X)","(X)","(X)","(X)"
"    500 percent of poverty level","7,226,977","±28,133","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,006,304","±19,857","557,670","±12,858","27.8%","±0.5"
"    Male","994,496","±13,904","264,308","±9,216","26.6%","±0.8"
"    Female","1,011,808","±10,958","293,362","±7,578","29.0%","±0.6"
"15 years","3,614","±972","3,614","±972","100.0%","±3.2"
"16 to 17 years","9,344","±1,435","9,210","±1,435","98.6%","±1.3"
"18 to 24 years","262,930","±7,853","143,842","±6,392","54.7%","±1.9"
"25 to 34 years","360,097","±9,034","81,498","±4,388","22.6%","±1.1"
"35 to 44 years","212,651","±6,992","54,270","±4,061","25.5%","±1.6"
"45 to 54 years","292,040","±7,304","81,657","±4,228","28.0%","±1.2"
"55 to 64 years","356,166","±7,053","101,122","±4,843","28.4%","±1.2"
"65 to 74 years","254,495","±6,150","43,398","±2,794","17.1%","±1.0"
"75 years and over","254,967","±5,890","39,059","±2,981","15.3%","±1.1"
"Mean income deficit for unrelated individuals (dollars)","6,824","±99","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","753,291","±13,986","27,356","±2,478","3.6%","±0.3"
"Worked less than full-time, year-round in the past 12 months","470,158","±10,092","202,746","±7,556","43.1%","±1.2"
"Did not work","782,855","±12,836","327,568","±9,927","41.8%","±0.8"
