"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,774,124","±3,126","1,373,349","±26,495","14.1%","±0.3"
"    AGE","","","","","",""
"        Under 18 years","2,122,572","±3,909","412,692","±13,852","19.4%","±0.6"
"            Under 5 years","558,505","±3,112","123,515","±6,102","22.1%","±1.1"
"            5 to 17 years","1,564,067","±3,871","289,177","±10,532","18.5%","±0.7"
"            Related children of householder under 18 years","2,112,972","±4,271","403,427","±13,752","19.1%","±0.6"
"        18 to 64 years","5,970,889","±3,215","809,606","±15,732","13.6%","±0.3"
"            18 to 34 years","2,148,699","±4,729","382,947","±9,998","17.8%","±0.5"
"            35 to 64 years","3,822,190","±5,739","426,659","±11,360","11.2%","±0.3"
"        60 years and over","2,376,819","±8,943","227,146","±7,294","9.6%","±0.3"
"        65 years and over","1,680,663","±2,935","151,051","±5,661","9.0%","±0.3"
"    SEX","","","","","",""
"        Male","4,800,063","±4,599","617,730","±13,138","12.9%","±0.3"
"        Female","4,974,061","±4,113","755,619","±16,984","15.2%","±0.3"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","7,672,206","±10,496","873,999","±22,231","11.4%","±0.3"
"        Black or African American alone","1,327,896","±8,849","363,270","±13,838","27.4%","±1.0"
"        American Indian and Alaska Native alone","51,738","±3,861","10,310","±2,050","19.9%","±3.8"
"        Asian alone","317,025","±5,780","41,453","±4,871","13.1%","±1.5"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","117,440","±9,008","22,486","±4,358","19.1%","±3.6"
"        Two or more races","283,976","±10,241","61,476","±6,040","21.6%","±1.8"
"        Hispanic or Latino origin (of any race)","504,554","±1,873","99,815","±8,046","19.8%","±1.6"
"        White alone, not Hispanic or Latino","7,332,776","±4,402","808,100","±20,679","11.0%","±0.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","6,775,474","±4,978","755,784","±15,689","11.2%","±0.2"
"            Less than high school graduate","593,226","±12,801","164,334","±7,139","27.7%","±1.0"
"            High school graduate (includes equivalency)","1,926,790","±16,637","282,761","±8,949","14.7%","±0.4"
"            Some college, associate's degree","2,230,873","±20,634","223,924","±7,937","10.0%","±0.3"
"            Bachelor's degree or higher","2,024,585","±20,075","84,765","±5,401","4.2%","±0.3"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","4,936,431","±17,604","407,008","±11,672","8.2%","±0.2"
"            Employed","4,674,793","±17,540","319,291","±10,502","6.8%","±0.2"
"                Male","2,450,864","±11,736","133,724","±6,309","5.5%","±0.3"
"                Female","2,223,929","±12,598","185,567","±6,732","8.3%","±0.3"
"            Unemployed","261,638","±8,563","87,717","±5,254","33.5%","±1.5"
"                Male","148,005","±6,396","46,407","±3,748","31.4%","±1.9"
"                Female","113,633","±4,926","41,310","±3,397","36.4%","±2.4"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","7,908,445","±4,775","1,000,222","±18,327","12.6%","±0.2"
"            Worked full-time, year-round in the past 12 months","3,230,088","±20,751","80,512","±4,061","2.5%","±0.1"
