"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,656,449","±3,934","1,618,257","±30,260","16.8%","±0.3"
"AGE","","","","","",""
"    Under 18 years","2,296,548","±4,497","538,649","±15,018","23.5%","±0.7"
"        Related children under 18 years","2,283,729","±4,906","526,494","±14,802","23.1%","±0.6"
"    18 to 64 years","6,034,187","±3,184","972,998","±18,339","16.1%","±0.3"
"    65 years and over","1,325,714","±2,815","106,610","±4,888","8.0%","±0.4"
"SEX","","","","","",""
"    Male","4,723,452","±5,687","736,700","±19,079","15.6%","±0.4"
"    Female","4,932,997","±5,734","881,557","±15,644","17.9%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","N","N","N","N","N","N"
"        White","7,682,858","±11,990","1,027,837","±24,456","13.4%","±0.3"
"        Black or African American","1,337,073","±7,815","452,978","±16,186","33.9%","±1.2"
"        American Indian and Alaska Native","55,631","±3,803","13,611","±2,222","24.5%","±3.8"
"        Asian","233,785","±4,320","31,640","±4,331","13.5%","±1.8"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"        Some other race","111,783","±9,554","29,493","±5,306","26.4%","±4.1"
"    Two or more races","233,119","±10,149","62,174","±6,557","26.7%","±2.2"
"Hispanic or Latino origin (of any race)","427,517","±2,020","125,645","±8,477","29.4%","±2.0"
"White alone, not Hispanic or Latino","7,410,353","±5,026","946,254","±23,641","12.8%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,474,014","±4,519","813,330","±15,685","12.6%","±0.2"
"    Less than high school graduate","714,507","±12,121","199,007","±7,635","27.9%","±0.9"
"    High school graduate (includes equivalency)","1,989,926","±19,121","299,250","±9,389","15.0%","±0.5"
"    Some college, associate's degree","2,119,853","±19,197","243,771","±8,643","11.5%","±0.4"
"    Bachelor's degree or higher","1,649,728","±17,315","71,302","±4,821","4.3%","±0.3"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","4,841,708","±17,582","572,698","±13,216","11.8%","±0.3"
"    Employed","4,113,842","±18,895","329,334","±9,616","8.0%","±0.2"
"        Male","2,088,665","±14,059","138,214","±6,594","6.6%","±0.3"
"        Female","2,025,177","±12,459","191,120","±6,676","9.4%","±0.3"
"    Unemployed","727,866","±12,251","243,364","±8,737","33.4%","±1.0"
"        Male","416,946","±9,083","127,297","±6,945","30.5%","±1.4"
"        Female","310,920","±8,282","116,067","±5,855","37.3%","±1.5"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","7,646,810","±4,525","1,134,021","±20,526","14.8%","±0.3"
"    Worked full-time, year-round in the past 12 months","2,630,204","±16,745","72,780","±4,958","2.8%","±0.2"
"    Worked part-time or part-year in the past 12 months","2,097,343","±18,571","392,628","±11,744","18.7%","±0.5"
"    Did not work","2,919,263","±19,932","668,613","±15,506","22.9%","±0.5"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","733,180","±18,698","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","2,071,323","±30,265","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","2,536,075","±33,833","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","3,191,069","±35,887","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","3,444,954","±38,569","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","1,809,034","±22,727","527,569","±12,822","29.2%","±0.6"
"Male","878,891","±14,002","249,260","±9,357","28.4%","±0.9"
"Female","930,143","±13,350","278,309","±7,962","29.9%","±0.7"
"Mean income deficit for unrelated individuals (dollars)","6,262","±93","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","586,958","±15,888","22,485","±3,258","3.8%","±0.6"
"Worked less than full-time, year-round in the past 12 months","470,259","±11,417","198,620","±7,866","42.2%","±1.1"
"Did not work","751,817","±15,022","306,464","±9,619","40.8%","±0.7"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","25.9%","(X)","(X)","(X)","(X)","(X)"
