"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,686,787","±4,096","1,568,844","±28,256","16.2%","±0.3"
"AGE","","","","","",""
"    Under 18 years","2,181,230","±4,562","492,853","±12,496","22.6%","±0.6"
"        Related children under 18 years","2,168,971","±4,873","481,270","±12,463","22.2%","±0.6"
"    18 to 64 years","6,014,142","±2,824","954,488","±20,056","15.9%","±0.3"
"    65 years and over","1,491,415","±2,218","121,503","±5,019","8.1%","±0.3"
"SEX","","","","","",""
"    Male","4,732,317","±4,442","714,862","±14,119","15.1%","±0.3"
"    Female","4,954,470","±4,267","853,982","±19,046","17.2%","±0.4"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","N","N","N","N","N","N"
"        White","7,670,375","±11,693","978,662","±23,985","12.8%","±0.3"
"        Black or African American","1,318,915","±8,121","435,392","±15,053","33.0%","±1.1"
"        American Indian and Alaska Native","53,985","±2,836","13,868","±2,142","25.7%","±3.4"
"        Asian","274,196","±4,427","41,687","±4,136","15.2%","±1.5"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"        Some other race","119,928","±9,828","26,784","±4,556","22.3%","±3.5"
"    Two or more races","247,324","±10,639","72,174","±7,534","29.2%","±2.6"
"Hispanic or Latino origin (of any race)","463,489","±1,516","115,309","±8,588","24.9%","±1.8"
"White alone, not Hispanic or Latino","7,362,091","±5,355","904,296","±21,222","12.3%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","6,585,139","±4,174","816,114","±15,905","12.4%","±0.2"
"        Less than high school graduate","656,160","±11,484","191,933","±7,028","29.3%","±1.0"
"        High school graduate (includes equivalency)","1,936,790","±14,810","290,746","±8,902","15.0%","±0.4"
"        Some college, associate's degree","2,172,602","±17,748","249,513","±8,106","11.5%","±0.3"
"        Bachelor's degree or higher","1,819,587","±17,096","83,922","±4,883","4.6%","±0.3"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","4,813,846","±18,873","511,382","±13,733","10.6%","±0.3"
"        Employed","4,420,434","±20,746","361,614","±11,079","8.2%","±0.3"
"            Male","2,293,852","±14,082","153,341","±6,716","6.7%","±0.3"
"            Female","2,126,582","±13,797","208,273","±7,343","9.8%","±0.4"
"        Unemployed","393,412","±8,870","149,768","±6,872","38.1%","±1.3"
"            Male","214,285","±6,958","77,579","±4,937","36.2%","±1.7"
"            Female","179,127","±5,908","72,189","±4,558","40.3%","±1.9"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","7,774,351","±4,931","1,127,309","±21,633","14.5%","±0.3"
"        Worked full-time, year-round in the past 12 months","2,929,769","±20,325","84,122","±5,356","2.9%","±0.2"
"        Worked part-time or part-year in the past 12 months","1,991,752","±18,590","404,372","±10,888","20.3%","±0.5"
"        Did not work","2,852,830","±18,493","638,815","±16,375","22.4%","±0.5"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","719,061","±19,213","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","2,032,883","±30,229","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","2,493,432","±32,006","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","3,109,001","±36,659","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","3,359,370","±37,199","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","1,929,461","±20,311","568,905","±13,445","29.5%","±0.6"
"    Male","944,789","±14,528","268,618","±8,381","28.4%","±0.7"
"    Female","984,672","±12,975","300,287","±9,625","30.5%","±0.8"
"Mean income deficit for unrelated individuals (dollars)","6,680","±93","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","689,904","±12,824","27,430","±2,727","4.0%","±0.4"
"Worked less than full-time, year-round in the past 12 months","469,814","±11,328","220,612","±7,852","47.0%","±1.1"
"Did not work","769,743","±11,967","320,863","±10,303","41.7%","±1.0"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","28.1%","(X)","(X)","(X)","(X)","(X)"
