"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","9,772,151","±3,221","1,269,062","±30,302","13.0%","±0.3"
"    AGE","","","","","",""
"        Under 18 years","2,105,855","±3,883","371,020","±15,511","17.6%","±0.7"
"            Under 5 years","559,264","±3,119","108,367","±7,008","19.4%","±1.2"
"            5 to 17 years","1,546,591","±3,891","262,653","±11,581","17.0%","±0.7"
"            Related children of householder under 18 years","2,096,326","±4,356","361,886","±15,420","17.3%","±0.7"
"        18 to 64 years","5,936,313","±4,082","753,441","±18,092","12.7%","±0.3"
"            18 to 34 years","2,148,802","±4,808","353,051","±10,448","16.4%","±0.5"
"            35 to 64 years","3,787,511","±4,839","400,390","±11,714","10.6%","±0.3"
"        60 years and over","2,422,059","±10,744","215,404","±7,421","8.9%","±0.3"
"        65 years and over","1,729,983","±3,386","144,601","±6,241","8.4%","±0.4"
"    SEX","","","","","",""
"        Male","4,791,174","±5,286","570,034","±16,406","11.9%","±0.3"
"        Female","4,980,977","±4,969","699,028","±18,025","14.0%","±0.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","7,669,776","±11,961","790,956","±22,240","10.3%","±0.3"
"        Black or African American alone","1,319,697","±10,790","341,370","±16,592","25.9%","±1.2"
"        American Indian and Alaska Native alone","56,402","±3,431","13,848","±2,795","24.6%","±4.3"
"        Asian alone","318,892","±4,754","33,960","±4,040","10.6%","±1.3"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N"
"        Some other race alone","112,577","±10,325","27,196","±6,187","24.2%","±4.6"
"        Two or more races","292,798","±11,411","60,894","±6,289","20.8%","±1.8"
"        Hispanic or Latino origin (of any race)","514,500","±1,659","114,117","±8,699","22.2%","±1.7"
"        White alone, not Hispanic or Latino","7,322,337","±4,247","720,079","±21,229","9.8%","±0.3"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","6,799,268","±4,844","712,759","±15,446","10.5%","±0.2"
"            Less than high school graduate","576,777","±10,485","151,468","±7,156","26.3%","±1.1"
"            High school graduate (includes equivalency)","1,962,349","±20,414","270,778","±9,489","13.8%","±0.5"
"            Some college, associate's degree","2,199,002","±21,581","209,522","±6,741","9.5%","±0.3"
"            Bachelor's degree or higher","2,061,140","±20,448","80,991","±4,251","3.9%","±0.2"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","4,965,681","±20,048","382,129","±10,280","7.7%","±0.2"
"            Employed","4,719,044","±20,199","303,158","±9,374","6.4%","±0.2"
"                Male","2,465,743","±12,970","129,236","±6,015","5.2%","±0.2"
"                Female","2,253,301","±14,993","173,922","±7,180","7.7%","±0.3"
"            Unemployed","246,637","±8,071","78,971","±4,804","32.0%","±1.6"
"                Male","139,159","±6,254","43,739","±3,730","31.4%","±2.2"
"                Female","107,478","±5,676","35,232","±3,759","32.8%","±2.5"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","7,915,571","±5,070","936,285","±19,743","11.8%","±0.3"
"            Worked full-time, year-round in the past 12 months","3,278,768","±17,855","84,724","±5,262","2.6%","±0.2"
"            Worked part-time or part-year in the past 12 months","1,874,183","±19,748","307,765","±9,551","16.4%","±0.5"
"            Did not work","2,762,620","±17,361","543,796","±12,857","19.7%","±0.5"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","550,644","±21,357","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,648,088","±29,960","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,050,913","±33,378","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","2,642,568","±36,711","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","2,902,694","±37,817","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,541,026","±40,762","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","5,973,287","±35,644","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,082,762","±27,226","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,062,125","±20,435","516,892","±11,189","25.1%","±0.5"
"    Male","1,011,719","±13,739","236,377","±7,717","23.4%","±0.7"
"    Female","1,050,406","±13,310","280,515","±7,963","26.7%","±0.7"
"    15 years","3,204","±1,025","3,141","±1,031","98.0%","±3.4"
"    16 to 17 years","6,124","±1,192","5,900","±1,189","96.3%","±3.6"
"    18 to 24 years","249,179","±7,814","119,750","±6,029","48.1%","±2.2"
"    25 to 34 years","383,463","±9,511","73,199","±3,994","19.1%","±1.0"
"    35 to 44 years","221,906","±7,089","48,811","±3,672","22.0%","±1.6"
"    45 to 54 years","259,920","±8,456","71,341","±4,591","27.4%","±1.3"
"    55 to 64 years","363,793","±8,468","93,934","±4,271","25.8%","±1.1"
